1 0 0 0 0 0 0 0 0 0 1 0
0: (1,1,1) 1
1: (1,-1,1) 1
2: (1,1,-1) 1
3: (1,-1,-1) 1
4: (-1,1,1) 1
5: (-1,-1,1) 1
6: (-1,1,-1) 1
7: (-1,-1,-1) 1
8: (0,0,0) -1
8: (-0.005000000000000001,0,0)
8: (-0.01999999950105889,-0.0005000000000000001,0)
8: (-0.04494996660429486,-0.002500001146845697,0)
8: (-0.07969954106341924,-0.006995030352621364,0)
8: (-0.1239972581152988,-0.01496531100344583,0)
8: (-0.17748854073262407,-0.02736698105292911,0)
8: (-0.239710899986497,-0.04512413120857503,0.0000000000000000001387778780781446)
8: (-0.3100848925711726,-0.0691232102615017,0.0000000000000000004163336342344338)
8: (-0.38790001606319946,-0.10021080715123776,0.000000000000000000693889390390723)
8: (-0.4722958198547212,-0.13919504855056525,0.0000000000000000012490009027033014)
8: (-0.5622397435726542,-0.18684880181012054,0.00000000000000000180411241501588)
8: (-0.6565039426830457,-0.2439091016972356,0.0000000000000000023592239273284582)
8: (-0.7536430561758353,-0.3110618987695296,0.0000000000000000031918911957973256)
8: (-0.851973959765551,-0.38889586772661777,0.000000000000000004024558464266193)
8: (-0.9495596400336401,-0.4778070646467277,0.00000000000000000485722573273506)
8: (-1.0442068657286911,-0.5778433172647405,0.000000000000000005689893001203928)
8: (-1.1335033629089182,-0.6885004823304467,0.000000000000000007077671781985373)
8: (-1.214935658831098,-0.8085252321425598,0.000000000000000009575673587391976)
8: (-1.286118122500636,-0.9358239480609944,0.000000000000000012628786905111158)
8: (-1.345104325231931,-1.067575122148836,0.000000000000000016237011735142916)
8: (-1.3906721412701142,-1.2005514801435029,0.000000000000000020400348077487254)
8: (-1.4224578094877929,-1.331528702937307,0.00000000000000002511879593214417)
8: (-1.440898386437449,-1.4576140841360679,0.000000000000000030392355299113666)
8: (-1.447047539628074,-1.576408601491346,0.00000000000000003566591466608316)
8: (-1.4423637679532373,-1.686023811356137,0.00000000000000004093947403305265)
8: (-1.4285354728703854,-1.7850217457741857,0.00000000000000004621303340002214)
8: (-1.4073605567601293,-1.8723344442588101,0.000000000000000051209037010835345)
8: (-1.3806720219932622,-1.9471917164131594,0.00000000000000005592748486549226)
8: (-1.3502944349839963,-2.0090655071518646,0.00000000000000006120104423246176)
8: (-1.3180184724148891,-2.0576298513856996,0.00000000000000006675215935558754)
8: (-1.2855849895836353,-2.09273262649445,0.00000000000000007147060721024446)
8: (-1.2546734961281625,-2.1143753463766317,0.00000000000000007535638779643251)
8: (-1.2268921610646109,-2.122698111144317,0.00000000000000007924216838262056)
8: (-1.2037677485122154,-2.117967761220853,0.00000000000000008368306048112119)
8: (-1.1867345280315305,-2.1005680781364533,0.0000000000000000886790640919344)
8: (-1.1771214400607868,-2.0709915378665706,0.00000000000000009395262345890389)
8: (-1.1761367682933033,-2.029832739941541,0.0000000000000000989486270697171)
8: (-1.1848493729169816,-1.9777843126558474,0.00000000000000010422218643668659)
8: (-1.2041652948829358,-1.9156369295520304,0.00000000000000011005085731596866)
8: (-1.2347985222534594,-1.8442860822381475,0.00000000000000011615708395140702)
8: (-1.277235516095676,-1.7647491736393566,0.00000000000000012309597785531425)
8: (-1.3316958182913512,-1.6781963553351011,0.00000000000000013058998327153404)
8: (-1.398097005790826,-1.585995166904738,0.00000000000000013863910020006643)
8: (-1.476041207153345,-1.4897595343049717,0.00000000000000014890866317784913)
8: (-1.5648469743708566,-1.391378110144378,0.0000000000000001619537837171947)
8: (-1.6636422952867145,-1.2929855746645633,0.00000000000000017666423879347804)
8: (-1.7715036162220383,-1.1968538392895627,0.00000000000000019192980538207394)
8: (-1.887588918247019,-1.1052249980539244,0.0000000000000002080280392391387)
8: (-2.0112083590284535,-1.0201510351052119,0.00000000000000022523649612082864)
8: (-2.1418154220440297,-0.9434012640843468,0.00000000000000024327762027098744)
8: (-2.2789471301966753,-0.8764510754669865,0.0000000000000002618738559334588)
8: (-2.422155065346705,-0.820522733708628,0.0000000000000002804700915959302)
8: (-2.570952869992742,-0.7766399034295025,0.00000000000000029864999362416715)
8: (-2.7247855359765585,-0.7456719364290227,0.0000000000000003162747841400915)
8: (-2.88301520834466,-0.7283608602200543,0.0000000000000003336220188998596)
8: (-3.04491673576225,-0.7253337112583896,0.0000000000000003504141421473151)
8: (-3.2096784779016057,-0.7371056597370581,0.00000000000000036651237600437985)
8: (-3.376406307012088,-0.7640785990991116,0.00000000000000038205549834913206)
8: (-3.5441301205031577,-0.8065381391568768,0.00000000000000039711289812061076)
8: (-3.711812638066268,-0.8646504902280738,0.0000000000000004115457974407378)
8: (-3.8783602511526234,-0.9384598575160391,0.0000000000000004253195018399936)
8: (-4.04263557248915,-1.0278865645142732,0.0000000000000004385380947269369)
8: (-4.203471254975778,-1.1327259899984596,0.0000000000000004512015761015676)
8: (-4.359684642055442,-1.252648382110169,0.0000000000000004633793349029247)
8: (-4.510092853480787,-1.3871996217027842,0.0000000000000004751060656005279)
8: (-4.653527972272258,-1.5358030116822627,0.0000000000000004864338098986565)
8: (-4.788852060548716,-1.6977621615656089,0.0000000000000004974319567363495)
8: (-4.9149717842436464,-1.8722650190407983,0.0000000000000005081872422874057)
8: (-5.030852467062647,-2.0583890773536706,0.000000000000000518708340169205)
8: (-5.135531423607314,-2.2551077625858693,0.0000000000000005289692295296079)
8: (-5.228130442915853,-2.4612979807039896,0.000000000000000538978583985994)
8: (-5.307867309358572,-2.675748781907117,0.0000000000000005487624243905032)
8: (-5.374066260052722,-2.8971710797909176,0.0000000000000005583294243605153)
8: (-5.4261672883481795,-3.124208345281045,0.0000000000000005676622366612705)
8: (-5.463734212601473,-3.355448180072301,0.0000000000000005767608612927689)
8: (-5.486461439117761,-3.589434661281079,0.0000000000000005856426454897701)
8: (-5.494179358221178,-3.824681338013091,0.000000000000000594324936487034)
8: (-5.486858323128291,-4.0596847514273895,0.0000000000000006028207447106304)
8: (-5.4646111727218445,-4.292938342534731,0.0000000000000006111344069692493)
8: (-5.427694271433571,-4.522946606326735,0.0000000000000006192789336889604)
8: (-5.376507052166577,-4.748239346838923,0.0000000000000006272673352958336)
8: (-5.3115900614024225,-4.967385885368482,0.0000000000000006351082854072487)
8: (-5.23362151920495,-5.179009073268818,0.0000000000000006428061208318958)
8: (-5.143412420598198,-5.381798961503672,0.0000000000000006503608415697749)
8: (-5.0419002185984265,-5.574525981438896,0.0000000000000006577854580469556)
8: (-4.930141142857044,-5.756053495150938,0.0000000000000006650756334547481)
8: (-4.809301221259526,-5.925349578802024,0.0000000000000006722270309844625)
8: (-4.680646084765822,-6.0814979093291655,0.00000000000000067924398744478875)
8: (-4.545529648115902,-6.223707632764627,0.0000000000000006861308396444167)
8: (-4.405381770612354,-6.351322101887253,0.0000000000000006928962612007262)
8: (-4.2616950118910975,-6.463826381525731,0.0000000000000006995380837093725)
8: (-4.11601060727187,-6.560853431616683,0.0000000000000007060584755747003)
8: (-3.9699037958245604,-6.642188890974922,0.0000000000000007124596052010547)
8: (-3.824968641591718,-6.70777439856616,0.0000000000000007187327989710558)
8: (-3.682802494383665,-6.7577094037841015,0.0000000000000007248802252890486)
8: (-3.544990241141321,-6.7922514327197305,0.0000000000000007309040525593781)
8: (-3.41308850199623,-6.8118147935610756,0.0000000000000007367956071646644)
8: (-3.2886099268263926,-6.816967720961436,0.0000000000000007425462154875275)
8: (-3.1730077483204795,-6.808427976337928,0.0000000000000007481537091236225)
8: (-3.06766074636742,-6.787056938469245,0.0000000000000007536224248816395)
8: (-2.973858776069103,-6.753852236283525,0.0000000000000007589480259528883)
